date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:53	30358/30358	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2013:27:50%20GMT	https://demo.hasthemes.com/hugeshop-preview/index-v1.html	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/index-v1.html	(from )
11:53:55	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2016%20Jul%202020%2006:23:54%20GMT	https://demo.hasthemes.com/robots.txt		(from )
11:53:55	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2016%20Jul%202020%2006:23:55%20GMT	https://demo.hasthemes.com/hugeshop-preview/images/WordPress.ico	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/images/WordPress.ico	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:53:56	3260/3260	---M--	200	added ('OK')	image/png	etag:%22f180e76baba507bbcfaa72c5b4ea65ec%22	https://demo.hasthemes.com/hugeshop-preview/images/favicon.png	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/images/favicon.png	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:53:57	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css	C:/My%20Web%20Sites/HE/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:53:59	5541/5541	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2013:27:51%20GMT	https://demo.hasthemes.com/hugeshop-preview/css/style.css	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/css/style.css	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:54:00	57095/57095	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2013:27:51%20GMT	https://demo.hasthemes.com/hugeshop-preview/css/animate.css	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/css/animate.css	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:54:02	191673/191673	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2013:28:13%20GMT	https://demo.hasthemes.com/hugeshop-preview/huge/index.html	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/huge/index.html	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:54:03	7131/7131	---M--	200	added ('OK')	image/png	etag:%22c94480a81abd527c89cb6270bdc2b948%22	https://demo.hasthemes.com/hugeshop-preview/images/logo.png	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/images/logo.png	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:54:04	37757/37757	---M--	200	added ('OK')	image/jpeg	etag:%222dc03ea8a23cd64bb520653bb02d08f6%22	https://demo.hasthemes.com/hugeshop-preview/images/fashion1.jpg	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/images/fashion1.jpg	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:54:05	26196/26196	---M--	200	added ('OK')	image/jpeg	etag:%2282fd68d341d6fcfd665c99ac7fd8d428%22	https://demo.hasthemes.com/hugeshop-preview/images/fashion2.jpg	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/images/fashion2.jpg	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:54:05	232903/232903	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2013:28:06%20GMT	https://demo.hasthemes.com/hugeshop-preview/huge/index-2.html	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/huge/index-2.html	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:54:07	292820/292820	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2013:28:08%20GMT	https://demo.hasthemes.com/hugeshop-preview/huge/index-3.html	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/huge/index-3.html	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
11:54:08	31232/31232	---M--	200	added ('OK')	image/jpeg	etag:%221cf536cf0042bae562d3792facb35e7e%22	https://demo.hasthemes.com/hugeshop-preview/images/fashion3.jpg	C:/My%20Web%20Sites/HE/demo.hasthemes.com/hugeshop-preview/images/fashion3.jpg	(from https://demo.hasthemes.com/hugeshop-preview/index-v1.html)
